municipalityCode,population,populationAsOf,areaKm2,areaAsOf
02423,4718,2020-10-01,,
02424,5955,2020-10-01,,
02425,1636,2020-10-01,,
02426,1788,2020-10-01,,
02441,9082,2020-10-01,,
02442,16042,2020-10-01,,
02443,4968,2020-10-01,,
02445,16809,2020-10-01,,
02446,13496,2020-10-01,,
02450,2197,2020-10-01,,
03201,289731,2020-10-01,,
03202,50369,2020-10-01,,
03203,34728,2020-10-01,,
03205,93193,2020-10-01,,
03206,93045,2020-10-01,,
03207,33043,2020-10-01,,
03208,25366,2020-10-01,,
03209,111932,2020-10-01,,
03210,18262,2020-10-01,,
03211,32078,2020-10-01,,
03213,25513,2020-10-01,,
03214,24023,2020-10-01,,
03215,112937,2020-10-01,,
03216,55579,2020-10-01,,
03301,15731,2020-10-01,,
03302,5634,2020-10-01,,
03303,12285,2020-10-01,,
03321,32147,2020-10-01,,
03322,28056,2020-10-01,,
03366,5134,2020-10-01,,
03381,15535,2020-10-01,,
03402,7252,2020-10-01,,
03441,5045,2020-10-01,,
03461,11004,2020-10-01,,
03482,14320,2020-10-01,,
03483,8726,2020-10-01,,
03484,3059,2020-10-01,,
03485,2487,2020-10-01,,
03501,8421,2020-10-01,,
03503,3936,2020-10-01,,
03506,5378,2020-10-01,,
03507,15091,2020-10-01,,
03524,11494,2020-10-01,,
04202,140151,2020-10-01,,
04203,52203,2020-10-01,,
04205,61147,2020-10-01,,
04206,32758,2020-10-01,,
04207,78718,2020-10-01,,
04208,27976,2020-10-01,,
04209,62827,2020-10-01,,
04211,44068,2020-10-01,,
04212,76037,2020-10-01,,
04213,64637,2020-10-01,,
04214,39098,2020-10-01,,
04215,127330,2020-10-01,,
04216,51651,2020-10-01,,
04301,11418,2020-10-01,,
04302,1262,2020-10-01,,
04321,23571,2020-10-01,,
04322,10666,2020-10-01,,
04323,38271,2020-10-01,,
04324,8345,2020-10-01,,
04341,12262,2020-10-01,,
04361,33087,2020-10-01,,
04362,12046,2020-10-01,,
04401,13323,2020-10-01,,
04404,18132,2020-10-01,,
04406,35182,2020-10-01,,
04421,28786,2020-10-01,,
04422,7813,2020-10-01,,
04424,5849,2020-10-01,,
04444,6698,2020-10-01,,
04445,21943,2020-10-01,,
04501,15388,2020-10-01,,
04505,23994,2020-10-01,,
04581,6430,2020-10-01,,
04606,12225,2020-10-01,,
05201,307672,2020-10-01,,
05202,49968,2020-10-01,,
05203,85555,2020-10-01,,
05204,69237,2020-10-01,,
05206,25154,2020-10-01,,
05207,42091,2020-10-01,,
05209,29088,2020-10-01,,
05210,74707,2020-10-01,,
05211,31720,2020-10-01,,
05212,77657,2020-10-01,,
05213,30198,2020-10-01,,
05214,23435,2020-10-01,,
05215,24610,2020-10-01,,
05303,4780,2020-10-01,,
05327,2063,2020-10-01,,
05346,2896,2020-10-01,,
05348,15254,2020-10-01,,
05349,6577,2020-10-01,,
05361,8538,2020-10-01,,
05363,5583,2020-10-01,,
05366,4566,2020-10-01,,
05368,3011,2020-10-01,,
05434,18613,2020-10-01,,
05463,13825,2020-10-01,,
05464,2704,2020-10-01,,
06201,247590,2020-10-01,,
06202,81252,2020-10-01,,
06203,122347,2020-10-01,,
06204,100273,2020-10-01,,
06205,34432,2020-10-01,,
06206,40189,2020-10-01,,
06207,29110,2020-10-01,,
06208,22516,2020-10-01,,
06209,26543,2020-10-01,,
06210,62140,2020-10-01,,
06211,47682,2020-10-01,,
06212,14971,2020-10-01,,
06213,30420,2020-10-01,,
06301,13725,2020-10-01,,
06302,10746,2020-10-01,,
06321,17641,2020-10-01,,
06322,4956,2020-10-01,,
06323,6366,2020-10-01,,
06324,7646,2020-10-01,,
06341,6577,2020-10-01,,
06361,5071,2020-10-01,,
06362,8080,2020-10-01,,
06363,5007,2020-10-01,,
06364,7203,2020-10-01,,
06365,3028,2020-10-01,,
06366,3902,2020-10-01,,
06367,4199,2020-10-01,,
06381,22463,2020-10-01,,
06382,14558,2020-10-01,,
06401,7107,2020-10-01,,
06402,12890,2020-10-01,,
06403,6613,2020-10-01,,
06426,7601,2020-10-01,,
06428,20151,2020-10-01,,
06461,13032,2020-10-01,,
07201,282693,2020-10-01,,
07202,117376,2020-10-01,,
07203,327692,2020-10-01,,
07204,332931,2020-10-01,,
07205,59491,2020-10-01,,
07207,74992,2020-10-01,,
07208,44760,2020-10-01,,
07209,34865,2020-10-01,,
07210,53557,2020-10-01,,
07211,35169,2020-10-01,,
07212,59005,2020-10-01,,
07213,58240,2020-10-01,,
07214,30236,2020-10-01,,
07301,11459,2020-10-01,,
07303,8639,2020-10-01,,
07308,12170,2020-10-01,,
07322,8900,2020-10-01,,
07342,12318,2020-10-01,,
07344,5194,2020-10-01,,
07362,5264,2020-10-01,,
07364,504,2020-10-01,,
07367,4044,2020-10-01,,
07368,14451,2020-10-01,,
07402,2556,2020-10-01,,
07405,5770,2020-10-01,,
07407,3322,2020-10-01,,
07408,13552,2020-10-01,,
07421,15068,2020-10-01,,
07422,3081,2020-10-01,,
07423,3081,2020-10-01,,
07444,1452,2020-10-01,,
07445,1862,2020-10-01,,
07446,1246,2020-10-01,,
07447,19014,2020-10-01,,
07461,20808,2020-10-01,,
07464,6213,2020-10-01,,
07465,4885,2020-10-01,,
07466,17287,2020-10-01,,
07481,13343,2020-10-01,,
07482,5392,2020-10-01,,
07483,8302,2020-10-01,,
07484,3049,2020-10-01,,
07501,14644,2020-10-01,,
07502,6392,2020-10-01,,
07503,5826,2020-10-01,,
07504,6036,2020-10-01,,
07505,4825,2020-10-01,,
07521,17018,2020-10-01,,
07522,9471,2020-10-01,,
07541,5412,2020-10-01,,
07542,3710,2020-10-01,,
07543,2128,2020-10-01,,
07544,2044,2020-10-01,,
07545,847,2020-10-01,,
07546,,,,
07547,1923,2020-10-01,,
07548,420,2020-10-01,,
07561,7905,2020-10-01,,
07564,1318,2020-10-01,,
08201,270685,2020-10-01,,
08202,174508,2020-10-01,,
08203,142074,2020-10-01,,
08204,139344,2020-10-01,,
08205,73061,2020-10-01,,
08207,50645,2020-10-01,,
08208,76420,2020-10-01,,
08210,42521,2020-10-01,,
08211,60834,2020-10-01,,
08212,48602,2020-10-01,,
08214,27699,2020-10-01,,
08215,41801,2020-10-01,,
08216,73173,2020-10-01,,
08217,104524,2020-10-01,,
08219,84651,2020-10-01,,
08220,241656,2020-10-01,,
08221,156581,2020-10-01,,
08222,66950,2020-10-01,,
08223,27604,2020-10-01,,
08224,68421,2020-10-01,,
08225,39267,2020-10-01,,
08226,53502,2020-10-01,,
08227,100753,2020-10-01,,
08228,52265,2020-10-01,,
08229,39039,2020-10-01,,
08230,40087,2020-10-01,,
08231,39122,2020-10-01,,
08232,95454,2020-10-01,,
08233,32185,2020-10-01,,
08234,45953,2020-10-01,,
08235,49872,2020-10-01,,
08236,48870,2020-10-01,,
08302,31401,2020-10-01,,
08309,15715,2020-10-01,,
08310,18097,2020-10-01,,
08341,37891,2020-10-01,,
08364,15736,2020-10-01,,
08442,14602,2020-10-01,,
08443,48553,2020-10-01,,
08447,8231,2020-10-01,,
08521,21026,2020-10-01,,
08542,8093,2020-10-01,,
08546,24201,2020-10-01,,
08564,15340,2020-10-01,,
09201,518757,2020-10-01,,
09202,144746,2020-10-01,,
09203,155549,2020-10-01,,
09204,116228,2020-10-01,,
09205,94033,2020-10-01,,
09206,77661,2020-10-01,,
09208,166666,2020-10-01,,
09209,78190,2020-10-01,,
09210,72087,2020-10-01,,
09211,31165,2020-10-01,,
09213,115210,2020-10-01,,
09214,44513,2020-10-01,,
09215,24875,2020-10-01,,
